MVCR_CODE;MVCR_NAME;RUIAN_CODE;RUIAN_NAME
14;Hlavní město Praha;19;Hlavní město Praha
1;Jihočeský;35;Jihočeský kraj
2;Jihomoravský;116;Jihomoravský kraj
3;Karlovarský;51;Karlovarský kraj
4;Královéhradecký;86;Královéhradecký kraj
5;Liberecký;78;Liberecký kraj
6;Moravskoslezský;132;Moravskoslezský kraj
7;Olomoucký;124;Olomoucký kraj
8;Pardubický;94;Pardubický kraj
9;Plzeňský;43;Plzeňský kraj
10;Středočeský;27;Středočeský kraj
11;Ústecký;60;Ústecký kraj
12;Vysočina;108;Kraj Vysočina
13;Zlínský;141;Zlínský kraj
